獎品編號,獎別,獎品內容,數量,號組
b100,中華電信公關長特別獎,iPhone 6S+未來三年新 iPhone 優先購買序號,5,
b110,台灣高鐵公關長特別獎,高鐵一年期免費升等商務艙 VIP 卡,2,
b111,HP 公關長特別獎,HP 筆記型電腦+彩色雷射印表機,6,
b120,Gogoro CEO 特別獎,Gogoro 125 機車一台+兩年份換電馳方案,1,
b130,中信兄弟棒球隊特別獎,中華職棒 27 年中信兄弟主場季票兩張,3,
b140,NIKON 大中華區行銷長特別獎,NIKON 智慧單眼相機,2,
b150,白蘭氏北區公關長特別獎,白蘭氏護肝蜆精一年份,2,
b160,台灣微軟公關長特別獎,Xbox + Kinect 歡樂同綑包,5,
b170,巨大股份有限公司特別獎,ubike 365 小時免費騎乘體驗卡一張,5,
b180,趨勢科技股份有限公司,郵政禮券 10000 元,1,
b190,統一集團特別獎,7-11 禮券 10000 元,1,
b200,蘋果公司特別獎,Apple Watch 2代,3,
b210,Costco 北區行銷特別獎,Costco 五年期免費會員,2,
b220,Google Taiwan 特別獎,Nexus 7 智慧型手機,2,
b230,台北捷運公司特別獎,波多野結衣悠遊卡一套兩張,3,
b240,中華航空特別獎,全球不限航點來回機票兩張,2,
b250,巧連智股份有限公司特別獎,可愛巧虎島 DVD 三年份,1,
b251,相聲瓦舍特別獎,排練室 VIP 演出體驗券 2 張,3,
b252,批踢踢實業坊特別獎,P幣 10000000 元,2,
b260,星巴克台灣分公司特別獎,星巴克全球城市隨行杯 20 款,5,
b270,KKBOX 特別獎,KKBOX 終身免費會員序號一組,1,
b271,101 公關長特別獎,101 89樓瞭望台雙人 VIP Pass+雙人跨年煙火特等席,5,
b272,麥當勞特別獎,麥當勞餐券 10000 元,1,
b280,ZARA 大中華區營業部特別獎,ZARA 10000 元禮物卡,3,
b290,杰威爾股份有限公司,周杰倫個人演唱會 VIP Pass * 2,1,
b300,日本觀光協會特別獎,台北東京來回機票兩人同行,3,
b310,Facebook 大中華區特別獎,Facebook 美國總部三日參訪之旅,2,
